frame_number,car_id,license_plate
1,1,
1,2,
2,1,
2,2,
3,1,
3,2,
4,1,
4,2,
5,1,
5,2,
6,1,
6,2,
7,1,
7,2,
8,1,
8,2,
9,2,
9,1,
9,6,
10,1,
10,2,
10,6,
11,1,
11,2,
11,6,
12,1,
12,2,
12,6,
13,1,
13,6,
14,1,
14,6,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
6,2,
6,1,
6,6,
7,2,
7,1,
8,2,
8,1,
8,6,
9,2,
9,1,
9,6,
10,2,
10,1,
10,6,
11,2,
11,1,
11,6,
12,2,
12,1,
12,6,
13,2,
13,6,
14,2,
14,6,
14,3,
15,2,
15,6,
15,3,
16,2,
16,6,
16,3,
17,2,
17,1,
17,6,
17,3,
18,2,
18,6,
19,2,
19,6,
20,2,
20,6,
21,2,
21,6,
22,2,
23,2,
24,2,
24,6,
25,2,
25,6,
26,2,
26,6,
27,2,
27,6,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
6,2,
6,1,
7,2,
7,1,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
6,2,
6,1,
7,2,
7,1,
8,2,
8,1,
9,2,
9,1,
10,2,
10,1,
11,2,
11,1,
11,3,
12,2,
12,1,
12,3,
13,2,
13,3,
14,2,
14,3,
15,2,
15,3,
16,2,
17,2,
18,2,
18,6,
19,2,
19,3,
19,6,
20,2,
20,6,
21,2,
21,6,
22,2,
22,6,
23,2,
23,6,
23,3,
24,2,
24,6,
24,3,
25,2,
25,6,
25,3,
26,2,
26,6,
27,2,
27,6,
28,2,
28,6,
29,2,
29,6,
29,3,
30,2,
30,6,
31,2,
31,6,
32,2,
32,6,
33,2,
33,6,
34,2,
34,6,
35,2,
35,6,
36,2,
36,6,
37,2,
37,6,
38,2,
38,6,
39,2,
39,6,
40,2,
40,6,
41,2,
41,6,
42,2,
42,6,
43,2,
43,6,
1,1,
1,2,
2,1,
2,2,
3,1,
3,2,
4,1,
4,2,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
1,1,LU06153
1,2,RJC4F16
2,1,LU06153
2,2,RJC4F16
3,2,RJC4F16
3,1,LU06153
4,1,LU06153
4,2,RJC4F16
5,1,LU06153
5,2,RJC4F16
6,1,LU06153
6,2,RJC4F16
7,1,LU06153
7,2,RJC4F16
8,1,LU06153
8,2,RJC4F16
9,1,LU06153
9,2,RJC4F16
10,1,LUQ6153
10,2,RJC4F16
11,1,LUQ6153
11,2,RJC4F16
1,2,LU06153
1,1,RJC4F16
2,2,LU06153
2,1,RJC4F16
3,2,LU06153
3,1,RJC4F16
4,2,LU06153
4,1,RJC4F16
5,2,LU06153
5,1,RJC4F16
6,2,LU06153
6,1,RJC4F16
7,2,LU06153
7,1,RJC4F16
8,2,LU06153
8,1,RJC4F16
9,2,LU06153
9,1,RJC4F16
10,2,LU06153
10,1,RJC4F16
11,2,LU06153
11,1,RJC4F16
12,2,LU06153
12,1,RJC4F16
13,2,LU06153
14,2,LU06153
15,2,LU06153
16,2,LU06153
17,2,LU06153
18,2,LU06153
19,2,LU06153
20,2,LU06153
21,2,LU06153
22,2,LU06153
23,2,LU06153
24,2,LU06153
25,2,LU06153
26,2,LU06153
27,2,LU06153
28,2,LU06153
29,2,LU06153
29,7,X-554
30,2,LU06153
30,7,X-554
31,2,LU06153
31,7,X-554
32,2,LU06153
32,7,X-554
33,2,LU06153
33,7,X-554
34,2,LU06153
34,7,X-554
35,2,LU06153
35,7,X-554
36,2,LU06153
36,7,X-554
37,2,LU06153
37,7,X-554
38,2,LU06153
38,7,X-554
39,2,LU06153
39,7,X-554
40,2,LU06153
40,7,X-554
41,2,LU06153
41,7,X-554
42,2,LU06153
42,7,X-554
43,2,LU06153
43,7,X-554
44,2,LU06153
44,7,X-554
45,2,LU06153
45,7,X-554
46,2,LU06153
46,7,X-554
47,2,LU06153
47,7,X-554
48,2,LU06153
48,7,X-554
49,2,LU06153
49,7,X-554
50,2,LU06153
50,7,X-554
51,2,LU06153
51,7,X-554
52,2,LU06153
52,7,X-554
53,2,LU06153
53,7,X-554
54,7,X-554
55,7,X-554
56,7,X-554
57,7,X-554
58,7,X-554
59,7,X-554
60,7,X-554
61,7,X-554
62,7,X-554
63,7,X-554
64,7,X-554
65,7,X-554
66,7,X-554
67,7,X-554
68,7,X-554
69,7,X-554
70,7,X-554
71,7,X-554
72,7,X-554
73,7,X-554
74,7,X-554
75,7,X-554
76,7,X-554
77,7,X-554
78,7,X-554
79,7,X-554
80,7,X-554
81,7,X-554
82,7,X-554
83,7,X-554
84,7,1-554
85,7,1-554
86,7,1-554
87,7,1-554
88,7,1-554
89,7,1-554
90,7,1-554
2,2,LU06153
2,1,RJC4F16
4,2,LU06153
4,1,RJC4F16
6,2,LU06153
6,1,RJC4F16
8,2,LU06153
8,1,RJE4F36
10,2,LU06153
10,1,RJE4F36
12,2,LU06153
12,1,RJE4F36
14,2,LU06153
16,1,RJC4F3
16,2,LU06153
18,2,LU06153
20,2,LU06153
22,2,LU06153
24,2,LU06153
26,2,LU06153
28,2,LU06153
30,2,LU06153
32,2,LU06153
34,2,LU06153
36,2,LU06153
38,2,LU06153
40,2,LU06153
42,2,LU06153
44,2,LU06153
46,2,LU06153
48,2,LU06153
50,2,LU06153
52,2,LU06153
68,5,KPX-554
70,5,KPX-554
72,5,KPX-554
74,5,KPX-554
76,5,KPX-554
78,5,KPX-554
80,5,KPX-5545
82,5,KPX-5545
84,5,KPX-5545
86,5,KPX-5545
88,5,KPX-5545
90,5,KPX-5545
92,5,KPX-5545
94,5,KPX-5545
96,5,KPX-5545
98,5,KPX-5545
100,5,KPX-5545
102,5,KPX-5545
104,5,KPX-5545
106,5,KPX-5545
108,5,KPX-5545
110,5,KPX-5545
112,5,KPX-5545
114,5,KPX-5545
116,5,KPX-5545
118,5,KPX-5545
120,5,KPX-5545
122,5,KPX-5545
124,5,KPX-5545
126,5,KPX-5545
128,5,KPX-5545
130,5,KPX-5545
132,5,KPX-5545
134,5,KPX-5545
136,5,KPX-5545
138,5,KPX-5545
140,5,KPX-5545
142,5,KPX-5545
144,5,KPX-5545
146,5,KPX-5545
148,5,KPX-5545
150,5,KPX-5545
152,5,KPX-5545
152,15,4020
154,5,KPX-5545
154,15,4020
156,5,KPX-5545
156,15,4020
158,15,4020
158,5,KPX-5545
160,5,KPX-5545
160,15,4020
162,5,KPX-5545
162,15,4020
164,5,KPX-5545
164,15,4020
166,5,KPX-5545
166,15,4020
168,5,KPX-5545
168,15,4020
170,5,KPX-5545
170,15,4020
172,15,4020
172,5,KPX-5545
174,15,4020
174,5,KPX-5545
176,15,4020
176,5,KPX-5545
178,15,4020
178,5,KPX-5545
178,4,KYG
180,15,4020
180,5,KPX-5545
182,15,4020
182,5,KPX-5545
184,15,4020
184,5,KPX-5545
186,15,4020
186,5,KPX-5545
188,15,4020
188,5,KPX-5545
190,15,4020
190,5,KPX-5545
192,5,KPX-5545
192,15,4020
194,5,KPX-5545
194,15,4020
196,15,4020
196,5,KPX-5545
198,15,4020
198,5,KPX-5545
200,15,4020
200,5,KPX-5545
202,5,KPX-5545
202,15,4020
204,15,4020
204,5,KPX-5545
206,15,4020
206,5,KPX-5545
208,5,KPX-5545
208,15,4020
210,15,4020
210,5,KPX-5545
212,5,KPX-5545
212,15,4020
214,5,KPX-5545
214,15,4020
216,5,KPX-5545
216,15,4020
218,5,KPX-5545
218,15,4020
220,5,KPX-5545
220,15,4020
222,5,KPX-5545
222,15,4020
224,5,KPX-5545
224,15,4020
226,5,KPX-5545
226,15,4020
228,5,KPX-5545
228,15,4020
230,15,4020
230,5,KPX-5545
232,5,KPX-5545
232,15,4020
234,5,KPX-5545
234,15,4020
236,5,KPX-5545
236,15,4020
238,5,KPX-5545
238,15,4020
240,5,KPX-5545
240,15,4020
242,5,KPX-5549
242,15,4020
244,15,4020
244,5,KPX-5549
246,5,KPX-5549
246,15,4020
248,5,KPX-5549
248,15,4020
250,15,4020
250,5,KPX-5549
252,5,KPX-5549
252,15,4020
254,5,KPX-5549
254,15,4020
256,5,KPX-5549
256,15,4020
258,5,KPX-5549
258,15,4020
260,5,KPX-5549
260,15,4020
262,15,4020
262,5,KPX-5549
264,15,4020
264,5,KPX-5549
266,15,4020
266,5,KPX-5549
268,15,4020
268,5,KPX-5549
270,15,4020
270,5,KPX-5549
272,15,4020
272,5,KPX-5549
274,15,4020
274,5,KPX-5549
276,15,4020
276,5,KPX-5549
278,5,KPX-5549
278,15,4020
280,5,KPX-5549
280,15,4020
282,5,KPX-5549
282,15,4020
284,15,4020
284,5,KPX-5549
286,15,4020
286,5,KPX-5549
288,5,KPX-5549
288,15,4020
290,5,KPX-5549
290,15,4020
292,5,KPX-5549
292,15,4020
294,15,4020
294,5,KPX-5549
296,15,4020
296,5,KPX-5549
298,15,4020
298,5,KPX-5549
300,5,KPX-5549
300,15,4020
302,5,KPX-5549
302,15,4020
304,5,KPX-5549
304,15,4020
306,5,KPX-5549
306,15,4020
308,5,KPX-5549
308,15,4020
310,5,KPX-5549
310,15,4020
312,15,4020
312,5,KPX-5549
314,15,4020
314,5,KPX-5549
316,5,KPX-5549
316,15,4020
318,15,4020
318,5,KPX-5549
320,15,4020
320,5,KPX-5549
322,5,KPX-5549
322,15,4020
324,5,KPX-5549
324,15,4020
326,15,4020
326,5,KPX-5549
328,15,4020
328,5,KPX-5549
330,15,4020
330,5,KPX-5549
332,30,SRA9E4L
332,5,KPX-5549
332,15,4020
334,15,4020
334,30,SRA9E4L
334,5,KPX-5549
336,15,4020
336,5,KPX-5549
336,30,SRA9E4L
338,5,KPX-5549
338,30,SRA9E44
338,15,4020
340,15,4020
340,5,KPX-5549
340,30,SRA9E44
342,5,KPX-5549
342,30,SRA9E44
342,15,4020
344,5,KPX-5549
344,15,4020
344,30,SRA9E44
346,15,4020
346,5,KPX-5549
346,30,SRA9E44
348,5,KPX-5549
348,30,SRA9E44
348,15,4020
350,5,KPX-5549
350,30,SRA9E44
350,15,4020
352,5,KPX-5549
352,30,SRA9E44
354,5,KPX-5549
354,30,SRA9E44
356,30,SRA9E44
356,5,KPX-5549
358,5,KPX-5549
358,30,SRA9E44
360,5,KPX-5549
360,30,SRA9E44
360,15,4020
362,5,KPX-5549
362,30,SRA9E44
362,15,4020
364,5,KPX-5549
364,30,SRA9E44
366,5,KPX-5549
366,30,SRA9E44
368,5,KPX-5549
368,30,SRA9E4L
370,5,KPX-5549
370,30,SRA9E4L
372,5,KPX-5549
372,30,SRA9E4L
2,1,RJC4F16
2,2,LUG6153
4,2,LUG6153
4,1,RJC4F16
6,1,RJC4F16
6,2,LUG6153
8,2,LUG6153
8,1,RJC4F16
10,2,LUG6153
10,1,RJC4F16
12,2,LUG6153
12,1,RJC4F16
14,2,LU06153
16,2,LU06153
18,2,LU06153
20,2,LU06153
22,2,LU06153
24,2,LU06153
24,1,RJC4F16
26,2,LU06153
28,2,LU06153
30,2,LU06153
32,2,LU06153
34,2,LU06153
36,2,LU06153
38,2,LU06153
40,2,LU06153
42,2,LU06153
44,2,LU06153
46,2,LU06153
48,2,LU06153
50,2,LU06153
52,2,LU06153
70,5,KPX-5545
72,5,KPX-5545
74,5,KPX-5545
76,5,KPX-5545
78,5,KPX-5545
80,5,KPX-5545
82,5,KPX-5545
84,5,KPX-5545
86,5,KPX-5545
88,5,KPX-5545
90,5,KPX-5545
92,5,KPX-5545
94,5,KPX-5545
96,5,KPX-5545
98,5,KPX-5545
100,5,KPX-5545
102,5,KPX-5545
104,5,KPX-5545
106,5,KPX-5545
108,5,KPX-5545
110,5,KPX-5545
112,5,KPX-5545
114,5,KPX-5545
116,5,KPX-5545
118,5,KPX-5545
120,5,KPX-5545
122,5,KPX-5545
124,5,KPX-5545
126,5,KPX-5545
128,5,KPX-5545
130,5,KPX-5545
132,5,KPX-5545
134,5,KPX-5545
136,5,KPX-5549
138,5,KPX-5549
140,5,KPX-5549
142,5,KPX-5549
144,5,KPX-5549
146,5,KPX-5549
148,5,KPX-5549
150,5,KPX-5549
152,5,KPX-5549
152,17,4020
154,5,KPX-5549
154,17,4020
156,5,KPX-5549
156,17,4020
158,5,KPX-5549
158,17,4020
160,5,KPX-5549
160,17,4020
162,5,KPX-5549
162,17,4020
164,5,KPX-5549
164,17,4020
166,5,KPX-5549
166,17,4020
168,5,KPX-5549
168,17,4020
170,5,KPX-5549
170,17,4020
172,17,4020
172,5,KPX-5549
174,17,4020
174,5,KPX-5549
176,17,4020
176,5,KPX-5549
178,17,4020
178,5,KPX-5549
178,4,KYG
180,17,4020
180,5,KPX-5549
182,17,4020
182,5,KPX-5549
184,17,4020
184,5,KPX-5549
186,17,4020
186,5,KPX-5549
188,17,4020
188,5,KPX-5549
190,17,4020
190,5,KPX-5549
192,17,4020
192,5,KPX-5549
194,17,4020
194,5,KPX-5549
196,5,KPX-5549
196,17,4020
198,17,4020
198,5,KPX-5549
200,17,4020
200,5,KPX-5549
202,5,KPX-5549
202,17,4020
204,5,KPX-5549
204,17,4020
206,5,KPX-5549
206,17,4020
208,5,KPX-5549
208,17,4020
210,5,KPX-5549
210,17,4020
212,5,KPX-5549
212,17,4020
1,1,5X78429
2,1,SX18429
3,1,SX18429
4,1,SX18429
5,1,SX18429
6,1,SX18429
7,1,SX18429
8,1,SX18429
9,1,SX18429
10,1,SX18429
11,1,SX18429
12,1,SX18429
13,1,SX18429
14,1,SX18429
15,1,SX18429
16,1,SX18429
17,1,SX18429
18,1,SX18429
19,1,SX18429
20,1,SX18429
21,1,SX18429
22,1,SX18429
23,1,SX18429
24,1,18429
25,1,18429
26,1,18429
27,1,18429
28,1,18429
29,1,18429
30,1,18429
31,1,18429
32,1,18429
33,1,18429
3,1,SX18429
6,1,SX18429
9,1,SX18429
12,1,SX18429
15,1,SX18429
18,1,SX18429
21,1,SX18429
24,1,SX18429
27,1,SX18429
30,1,SX18429
33,1,SX18429
36,1,SX18429
246,5,BD9730
249,5,BD9730
252,5,BD9730
252,25,E61370
252,25,E61370
255,25,E61370
255,25,E61370
255,5,BD9730
258,5,BD9730
258,25,E61370
258,25,E61370
261,5,BD9730
261,25,E61370
264,25,E61370
264,5,BD9730
267,5,BD9730
267,25,E61370
267,25,E61370
270,5,BD9730
270,25,E61370
273,5,BD9730
273,25,E61370
273,25,E61370
276,25,E61370
276,5,BD9730
276,5,BD9730
279,5,BD9730
282,5,08
285,5,08
285,25,E61370
288,5,08
291,5,08
297,5,08
300,5,08
303,5,08
306,5,08
309,5,97302
330,25,E61370
333,25,E61370
336,25,E61370
339,25,E61370
342,25,E61370
345,25,E61370
354,25,E61370
357,25,E61370
360,25,E61370
363,25,E61370
366,25,E61370
366,25,E61370
369,25,E61370
372,25,E61370
372,25,E61370
375,25,E61370
378,25,E61370
378,25,E61370
384,25,E61370
390,25,E61370
402,25,E61370
405,25,E61370
408,25,E61370
411,25,E61370
414,25,E61370
417,25,E61370
423,25,E61370
432,25,E61370
438,25,E61370
444,31,37491
447,31,37491
450,31,37491
453,31,37491
456,31,37491
459,31,37491
462,31,37491
465,31,37491
468,31,AY37491
471,31,AY37491
474,31,AY37491
477,31,AY37491
480,31,AY37491
483,31,AY37491
486,31,AY37491
528,31,AY37491
531,31,AY37491
534,31,AY37491
537,31,AY37491
540,31,AY37491
543,31,AY37491
546,31,AY37491
549,31,AY37491
552,31,AY37491
129,19,RUP3B22
132,19,RUP3B22
135,19,RUP3B22
291,31,GHH-5854
294,31,GHH-5854
315,34,EMJ-0352
318,34,EMJ-0352
351,40,FAN-6375
354,40,FAN-6375
357,40,FAN-6375
411,50,RTR4126
414,50,RTR4126
417,50,RTR4126
420,50,RTR4126
423,50,RTR4D26
3,2,LUG6153
3,1,LU06153
3,2,LU06153
3,1,LU06153
3,2,RJC4F16
6,1,LU06153
6,2,RJC4F16
9,1,LU06153
9,2,RJC4F16
12,1,LU06153
12,2,RJC4F16
15,1,LU06153
18,1,LU06153
21,1,LU06153
24,1,LU06153
27,1,LU06153
30,1,LU06153
33,1,LU06153
36,1,LU06153
39,1,LU06153
42,1,LU06153
45,1,LU06153
48,1,LU06153
51,1,LU06153
54,1,LU06153
129,20,RUP3822
132,20,RUP3822
135,20,RUP3822
315,35,EMJ-0352
318,35,EMJ-0352
351,41,FAW-6375
354,41,FAW-6375
357,41,FAW-6375
411,50,RTR4126
414,50,RTR4126
417,50,RTR4126
420,50,RTR4126
423,50,RTR4D26
1,1,SX78429
1,5,
2,1,SX18429
2,5,
3,1,SX18429
3,5,
4,1,SX18429
4,5,
5,1,SX18429
5,5,
6,1,SX18429
6,5,
7,1,SX18429
7,5,
8,1,SX18429
9,1,SX18429
9,5,
10,1,SX18429
10,5,
11,1,SX18429
12,1,SX18429
13,1,SX18429
14,1,SX18429
15,1,SX18429
16,1,SX18429
17,1,SX18429
18,1,SX18429
19,1,SX18429
20,1,SX18429
21,1,SX18429
22,1,SX18429
23,1,SX18429
24,1,SX18429
25,1,SX18429
26,1,SX18429
27,1,SX18429
28,1,SX18429
29,1,SX18429
30,1,SX18429
31,1,SX18429
32,1,SX18429
33,1,SX18429
34,1,SX18429
35,1,SX18429
36,1,SX18429
1,2,
1,1,R304F16
2,2,
2,1,R3C4F16
3,2,106153
3,1,R3C4F16
4,2,106153
4,1,R3C4F16
5,2,106153
5,1,R3C4F16
6,2,106153
6,1,R3C4F16
7,2,106153
7,1,R3C4F16
8,2,106153
8,1,R3C4F16
9,1,R3C4F16
9,2,106153
9,6,
10,2,106153
10,1,R3C4F16
10,6,
11,2,106153
11,1,R3C4F16
11,6,
12,2,106153
12,1,RJC4F16
12,6,
13,2,106153
13,6,
14,2,LU06153
14,6,
15,2,LU06153
15,6,
16,2,LU06153
16,6,
17,2,LU06153
17,6,
18,2,LU06153
18,6,
19,2,LU06153
19,6,
20,2,LU06153
20,6,
21,2,LU06153
21,6,
22,2,LU06153
22,6,
23,2,LU06153
23,6,
24,2,LU06153
24,6,
25,2,LU06153
25,6,
25,3,
26,2,LU06153
26,6,
26,3,
27,2,LU06153
27,6,
28,2,LU06153
28,6,
29,2,LU06153
29,6,
30,2,LU06153
30,6,
31,2,LU06153
31,6,
32,2,LU06153
32,6,
33,2,LU06153
33,6,
34,2,LU06153
34,6,
35,2,LU06153
35,6,
36,2,LU06153
36,6,
37,2,LU06153
37,6,
38,2,LU06153
38,6,
39,2,LU06153
39,6,
40,2,LUQ6153
40,6,
41,2,LUQ6153
41,6,
42,2,LUQ6153
42,6,
43,2,LUQ6153
43,6,
44,2,LUQ6153
44,6,
45,2,LUQ6153
45,6,
46,2,LUQ6153
46,6,
1,2,
1,1,
1,6,
2,1,
2,2,LUQ6153
3,2,LU06153
3,1,
4,2,LU06153
4,1,
4,6,
5,2,LUQ6153
5,1,R3C4F16
5,6,
6,2,LUQ6153
6,1,R3C4F16
7,2,LUQ6153
7,1,R3C4F16
8,2,LUQ6153
8,1,R3C4F16
8,6,
9,2,LUQ6153
9,1,R3C4F16
9,6,
10,2,LUQ6153
10,1,R3C4F16
11,2,LUQ6153
11,1,R3C4F16
12,2,LUQ6153
12,1,R3C4F16
13,2,LUQ6153
13,1,RJC4F16
14,2,LU06153
15,2,LU06153
15,3,
16,2,LU06153
16,3,
17,2,LU06153
17,1,RJC4F
18,2,LU06153
19,2,LU06153
20,2,LU06153
20,3,
21,2,LU06153
21,6,
21,3,
22,2,LU06153
22,6,
23,2,LU06153
23,6,
24,2,LU06153
24,6,
1,1,RJC4F16
1,2,UQ6153
2,2,UQ6153
2,1,RJC4F16
3,2,UQ6153
3,1,RJC4F16
4,2,UQ6153
4,1,RJC4F16
5,2,LU06153
5,1,R3C4F16
5,6,
6,2,LU06153
6,1,R3C4F16
7,2,LU06153
7,1,R3C4F16
8,2,LU06153
8,1,R3C4F16
8,6,
9,2,LU06153
9,1,R3C4F16
10,2,LU06153
10,1,R3C4F16
11,2,LU06153
11,1,R3C4F16
12,2,LU06153
12,1,R3C4F16
13,2,LU06153
14,2,LU06153
15,2,LUQ6153
16,2,LUQ6153
16,1,R3C4F16
17,2,LUQ6153
17,3,
18,2,LU06153
18,3,
19,2,LU06153
20,2,LU06153
21,2,LU06153
21,6,
22,2,LU06153
22,6,
22,3,
23,2,LU06153
23,6,
24,2,LU06153
24,6,
25,2,LU06153
25,6,
26,2,LU06153
26,6,
27,2,LU06153
27,6,
27,3,
28,2,LU06153
28,6,
29,2,LU06153
29,6,
30,2,LU06153
30,6,
31,2,LU06153
31,6,
32,2,LU06153
32,6,
33,2,LU06153
33,6,
34,2,LU06153
34,6,
35,2,LU06153
35,6,
36,2,LU06153
36,6,
37,2,LU06153
37,6,
38,2,LU06153
38,6,
39,2,LUQ6153
39,6,
40,2,LUQ6153
40,6,
41,2,LUQ6153
41,6,
42,2,LUQ6153
42,6,
43,2,LUQ6153
43,6,
44,2,LUQ6153
44,6,
45,2,LUQ6153
45,6,
46,2,LUQ6153
46,6,
47,2,LUQ6153
47,6,
48,2,LUQ6153
48,6,
49,2,LUQ6153
49,6,
50,2,LUQ6153
50,6,
51,2,LUQ6153
51,6,
52,2,LUQ6153
52,6,
53,6,
54,6,
55,6,
56,6,
57,6,
58,6,PX-5545
59,6,PX-5545
60,6,PX-5545
61,6,PX-5545
62,6,KPX-5545
63,6,KPX-5545
64,6,KPX-5545
65,6,KPX-5545
66,6,KPX-5545
67,6,KPX-5545
68,6,KPX-5545
69,6,KPX-5545
70,6,KPX-5545
71,6,KPX-5545
72,6,KPX-5545
73,6,KPX-5545
73,11,
74,6,KPX-5545
74,11,
75,6,KPX-5545
75,11,
76,6,KPX-5545
76,11,
77,6,KPX-5545
78,6,KPX-5545
79,6,KPX-5545
80,6,KPX-5545
81,6,KPX-5549
81,11,
